"LOCATION","Country","VARIABLE","Variable","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","CPV","Private final consumption expenditure, volume","A","Annual","1970","1970","AUD","Australian Dollar","0","Units","2021_22","2021-22",237557000000,,
"AUS","Australia","CPV","Private final consumption expenditure, volume","A","Annual","1971","1971","AUD","Australian Dollar","0","Units","2021_22","2021-22",245306000000,,
"AUS","Australia","CPV","Private final consumption expenditure, volume","A","Annual","1972","1972","AUD","Australian Dollar","0","Units","2021_22","2021-22",253764000000,,
"AUS","Australia","CPV","Private final consumption expenditure, volume","A","Annual","1973","1973","AUD","Australian Dollar","0","Units","2021_22","2021-22",270229000000,,
"AUS","Australia","CPV","Private final consumption expenditure, volume","A","Annual","1974","1974","AUD","Australian Dollar","0","Units","2021_22","2021-22",285371000000,,
"AUS","Australia","CPV","Private final consumption expenditure, volume","A","Annual","1975","1975","AUD","Australian Dollar","0","Units","2021_22","2021-22",292701000000,,
"AUS","Australia","CPV","Private final consumption expenditure, volume","A","Annual","1976","1976","AUD","Australian Dollar","0","Units","2021_22","2021-22",301928000000,,
"AUS","Australia","CPV","Private final consumption expenditure, volume","A","Annual","1977","1977","AUD","Australian Dollar","0","Units","2021_22","2021-22",311655000000,,
"AUS","Australia","CPV","Private final consumption expenditure, volume","A","Annual","1978","1978","AUD","Australian Dollar","0","Units","2021_22","2021-22",318270000000,,
"AUS","Australia","CPV","Private final consumption expenditure, volume","A","Annual","1979","1979","AUD","Australian Dollar","0","Units","2021_22","2021-22",322108000000,,
"AUS","Australia","CPV","Private final consumption expenditure, volume","A","Annual","1980","1980","AUD","Australian Dollar","0","Units","2021_22","2021-22",330613000000,,
"AUS","Australia","CPV","Private final consumption expenditure, volume","A","Annual","1981","1981","AUD","Australian Dollar","0","Units","2021_22","2021-22",345831000000,,
"AUS","Australia","CPV","Private final consumption expenditure, volume","A","Annual","1982","1982","AUD","Australian Dollar","0","Units","2021_22","2021-22",360896000000,,
"AUS","Australia","CPV","Private final consumption expenditure, volume","A","Annual","1983","1983","AUD","Australian Dollar","0","Units","2021_22","2021-22",365202000000,,
"AUS","Australia","CPV","Private final consumption expenditure, volume","A","Annual","1984","1984","AUD","Australian Dollar","0","Units","2021_22","2021-22",366773000000,,
"AUS","Australia","CPV","Private final consumption expenditure, volume","A","Annual","1985","1985","AUD","Australian Dollar","0","Units","2021_22","2021-22",380786000000,,
