SAPCE2 Per capita personal consumption expenditures (PCE) by major type of product 1
SAPCE2 Per capita personal consumption expenditures (PCE) by major type of product 1
State or DC
GeoFips,GeoName,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
00000,United States,20308,21306,22519,23983,24823,25550,26682,28114,29674,31092,32356,33049,32243,33164,34309,35144,35955,37192,38211,39236,40691,42413,43659,42853,48318,52542
01000,Alabama,17609,18235,19157,20158,20868,21700,22673,23932,25303,26245,27160,27555,26958,27635,28422,28920,29594,30365,31130,32005,33020,34053,35345,34878,39174,42391
02000,Alaska,23213,24110,25423,27243,28599,30252,31704,33138,35017,35947,37656,38911,38871,39968,41449,42455,42914,44251,45018,45703,47074,48904,50140,47762,53982,59179
04000,Arizona,20364,21251,22272,23528,24135,24770,25926,27487,29116,30529,31513,31456,30090,30689,31580,32261,33037,34068,34963,35827,37651,39285,40519,40605,46023,50123
05000,Arkansas,16074,16862,17839,18878,19615,20268,21208,22293,23574,24523,25472,26147,25712,26513,27559,28227,28820,29915,30759,31828,32785,34151,34722,34979,39231,42245
06000,California,20988,21897,23174,24843,25721,26525,27670,29284,31119,32926,34659,35379,33919,34777,35971,37112,37970,39399,40952,42472,44443,46948,49004,47720,54838,60272
08000,Colorado,22341,23516,25114,27049,27861,28236,29233,30702,32131,33483,34856,35436,34335,34871,36108,36572,37798,39447,40878,42285,44281,46115,48067,47355,54126,59371
09000,Connecticut,24769,26257,27892,29575,30664,31654,33023,34916,36902,38715,40184,41165,40137,40978,41987,42958,43904,45491,46696,47588,49084,50888,51713,51237,56371,60413
10000,Delaware,23179,24385,25719,27103,28267,29357,30820,32468,34191,35312,36992,37327,36558,37503,38830,39308,39938,41310,41892,42563,43879,45782,46730,45032,50700,54532
11000,District of Columbia,34146,35271,37247,39504,40644,42493,45139,48380,51135,53689,55910,57545,55364,57127,58259,59099,60427,62088,63388,64561,66501,69871,72117,69929,79105,85732
12000,Florida,22091,23124,24157,25688,26452,26836,27874,29483,31222,33085,34302,34522,33263,34139,35383,36295,37064,38593,39913,40682,42102,44005,45273,44655,51038,55516
13000,Georgia,19754,20523,21675,22937,23600,24126,25126,26254,27684,28615,29635,29683,28587,29170,30203,30881,31764,33086,34034,35012,36470,37967,39074,38419,43681,47406
15000,Hawaii,22015,22620,23560,25006,25717,26358,27809,29259,31273,33048,34497,35574,34879,35173,35945,36670,37772,38715,39543,40231,42047,43813,45835,44038,49543,54655
16000,Idaho,17420,18030,18953,20106,20694,21197,22151,23293,24687,26100,27270,27290,26145,26609,27453,28109,29207,30167,30573,31610,32724,33973,34643,34689,39639,43508
17000,Illinois,21279,22352,23423,25055,25799,26462,27533,28884,30453,31912,33372,34024,33156,34161,35290,36008,36749,38009,39175,40351,41749,43625,44665,43902,49429,54341
18000,Indiana,18712,19600,20680,21856,22548,23206,24145,25580,26874,27752,28595,29149,28558,29371,30370,31369,31915,32872,33611,34627,36173,37593,38310,38193,42565,46579
19000,Iowa,18592,19451,20479,21604,22313,22833,23980,25369,26625,27856,28819,29761,29602,30456,31734,32499,33094,34155,34610,35631,36790,37817,38615,37898,42247,45455
20000,Kansas,19161,20153,21406,22758,23568,24075,25168,26534,27885,29408,30830,31579,30648,31143,32250,32799,33224,34094,34839,35643,36710,37966,38971,38541,42438,46069
21000,Kentucky,17523,18386,19432,20645,21277,21975,22889,24086,25299,26382,27048,27754,27576,28392,29278,29859,30453,31279,32339,33301,34456,35940,36704,36486,41027,44193
22000,Louisiana,16899,17735,18555,19489,20261,20937,22027,23127,24059,27026,28207,29037,28740,29578,30548,31288,32050,32991,33707,34426,35577,36862,37830,37393,42115,45178
23000,Maine,20120,21314,22730,24190,25390,26648,27957,29456,30997,32245,33294,34194,34300,35592,36889,37030,37869,38457,39645,41399,43245,45253,46310,46170,51730,55789
24000,Maryland,22077,23220,24526,26332,27462,28323,29591,31273,33194,34982,36354,37207,36548,37406,38455,39069,39616,40557,41324,42125,43147,44612,45295,43670,48549,52651
25000,Massachusetts,24553,25986,27557,29603,30997,32001,33795,35818,37797,39588,40715,41751,41046,42160,43322,44088,44949,46336,47725,49061,50990,52863,54409,52701,59267,64214
26000,Michigan,19683,20599,21838,23073,23808,24535,25387,26479,27539,28423,29334,30327,29912,31173,32380,33397,34338,35628,36755,38081,39450,40991,42040,41154,46019,49482
27000,Minnesota,22607,23605,25145,26969,27929,28872,30127,31699,32806,33983,34805,35809,35010,36025,37339,38170,39029,40107,41017,42026,43524,45231,45893,43668,48846,52849
28000,Mississippi,15110,15767,16689,17649,18451,19261,20163,21252,22374,23804,24819,25510,25091,25986,26892,27446,28018,28763,29488,30195,30952,31767,32368,32751,36681,39678
29000,Missouri,20089,21056,22216,23557,24458,25317,26336,27392,28594,29419,30560,31588,30989,31960,33117,34100,34668,35565,36446,37331,38477,39942,40742,40251,44827,48613
30000,Montana,18124,19069,20177,21413,22432,23568,24797,26293,27928,29551,31259,32496,31485,33123,34476,35272,36104,37529,38021,38364,39685,41576,42555,42067,48015,51913
31000,Nebraska,19048,19982,21204,22603,23451,24029,25241,26816,28226,29560,30767,31772,31007,32246,33762,34613,35118,36174,36886,37865,38869,39995,40872,40371,45469,49522
32000,Nevada,22137,22596,23980,25190,25744,26379,27384,29017,30786,32125,33101,33106,31132,31625,32781,33398,34264,35371,36284,37334,39008,40610,41723,40581,46176,50922
33000,New Hampshire,23196,24570,26148,27887,29144,30327,32139,33900,35741,37294,39040,39545,39300,40511,41545,42586,43632,44330,45941,46880,49084,50571,51826,51357,56507,60828
34000,New Jersey,23558,24883,26359,28193,29466,30708,32338,34080,35947,37750,39189,40170,39123,40043,40789,41742,42463,43685,44533,45607,46736,48411,50009,48875,55472,60082
