"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1970","1970","MXN","Mexican Peso","0","Units",,,0.005786,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1971","1971","MXN","Mexican Peso","0","Units",,,0.005904,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1972","1972","MXN","Mexican Peso","0","Units",,,0.006028,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1973","1973","MXN","Mexican Peso","0","Units",,,0.006437,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1974","1974","MXN","Mexican Peso","0","Units",,,0.007174,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1975","1975","MXN","Mexican Peso","0","Units",,,0.007532,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1976","1976","MXN","Mexican Peso","0","Units",,,0.00843,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1977","1977","MXN","Mexican Peso","0","Units",,,0.010189,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1978","1978","MXN","Mexican Peso","0","Units",,,0.011099,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1979","1979","MXN","Mexican Peso","0","Units",,,0.011985,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1980","1980","MXN","Mexican Peso","0","Units",,,0.01351,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1981","1981","MXN","Mexican Peso","0","Units",,,0.015656,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1982","1982","MXN","Mexican Peso","0","Units",,,0.02325,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1983","1983","MXN","Mexican Peso","0","Units",,,0.042484,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1984","1984","MXN","Mexican Peso","0","Units",,,0.067622,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1985","1985","MXN","Mexican Peso","0","Units",,,0.103697,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1986","1986","MXN","Mexican Peso","0","Units",,,0.185066,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1987","1987","MXN","Mexican Peso","0","Units",,,0.421382,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1988","1988","MXN","Mexican Peso","0","Units",,,0.848782,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1989","1989","MXN","Mexican Peso","0","Units",,,1.018187,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1990","1990","MXN","Mexican Peso","0","Units",,,1.247135,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1991","1991","MXN","Mexican Peso","0","Units",,,1.505961,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1992","1992","MXN","Mexican Peso","0","Units",,,1.703529,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1993","1993","MXN","Mexican Peso","0","Units",,,2.118072,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1994","1994","MXN","Mexican Peso","0","Units",,,2.216783,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1995","1995","MXN","Mexican Peso","0","Units",,,2.922418,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1996","1996","MXN","Mexican Peso","0","Units",,,3.713737,,
